phaseA,phaseB
-1.59724589081943,-1.19452807421466
-1.73751154763619,-1.58988953843663
-1.82781800192399,-2.21702769715482
-0.582958270764104,-0.12033805181453
-1.04499944818709,-1.26134304617528
-1.77006140020196,-0.591073570223821
-0.568212584274406,-0.817249811195085
-0.934114171715018,-1.82893601894174
-2.47493413664918,-1.03625841567725
-0.0987295740391115,-0.0235801735017809
-0.442222513970154,-0.440937974653119
-0.997443278060194,-2.35135366843459
0.0560617468493514,-0.307017016654294
-0.249263309920189,0.52786562276522
-1.29791589451994,-1.51613081950894
-4.18383159337099,-6.27811390266207
-1.37081038018772,-1.60764273401582
-1.7573627728792,-1.74071515536374
-2.82153627083318,-2.04795678552984
0.993114773538209,-2.12168619844289
-2.94303195577252,-3.55709913717161
-2.30360109782215,-3.18280791270459
-0.412793187979238,-1.55184733113767
-1.26631668724145,-1.85684054192427
-4.33846850330896,-2.5351747591992
-1.5505688644407,-1.06976804143798
-3.47406912979576,-0.0113035639470387
-1.61435360490012,-2.83269382381369
-0.581053531511301,-0.469564807698958
0.118061789533387,-0.456663396554569
-2.32943993060916,-1.06969628128404
-1.54953513341208,-1.88170799576842
-1.58089416252256,-3.62479337841561
-2.11178632494104,-1.72506827271394
0.359031843012881,0.137154354719254
-1.81821138789532,-1.69753217753616
-2.10473351880065,-0.865955428967137
-1.79037920724497,-0.887346455287369
-1.80412338403445,-2.21027612865726
-2.30116610010648,-3.34956519693362
-0.0219275907620337,0.597811300448452
-0.589873674173075,-0.780868653084578
-1.51857374702647,-1.87527179834418
-0.421608406425411,-0.793278915149998
-1.96393109554901,-3.2502479819142
-1.19073091868894,-1.41615860308374
-1.68870153643911,-2.70143008844267
-0.302414784708476,-0.0379627264253284
0.17731698846907,-0.0580150310228876
-0.971459715773446,-1.30012484462631
-0.0378349149786914,-0.644333161479806
-1.22160046990425,-0.710922410644178
